Vial_Name,Num_Gen,Arriv_Time,Start_T,Start_F,Replication,First_Addition,Second_Addition,Check_Date,Adults_T,Adults_F,Relative_Arriv_Time
1-T18-10-20-I,1,T18,10,20,1,2023-05-21T00:00:00Z,2023-06-08T00:00:00Z,2023-07-14T00:00:00Z,6,1,-18
1-T18-15-15-II,1,T18,15,15,2,2023-05-21T00:00:00Z,2023-06-08T00:00:00Z,2023-07-14T00:00:00Z,10,0,-18
1-T18-15-15-III,1,T18,15,15,3,2023-05-21T00:00:00Z,2023-06-08T00:00:00Z,2023-07-14T00:00:00Z,11,0,-18
1-T18-20-10-I,1,T18,20,10,1,2023-05-21T00:00:00Z,2023-06-08T00:00:00Z,2023-07-14T00:00:00Z,15,0,-18
1-T18-20-10-II,1,T18,20,10,2,2023-05-21T00:00:00Z,2023-06-08T00:00:00Z,2023-07-14T00:00:00Z,11,2,-18
1-T18-20-10-III,1,T18,20,10,3,2023-05-21T00:00:00Z,2023-06-08T00:00:00Z,2023-07-14T00:00:00Z,8,1,-18
1-F12-10-20-I,1,F12,10,20,1,2023-05-21T00:00:00Z,2023-06-02T00:00:00Z,2023-07-14T00:00:00Z,2,13,12
1-F12-10-20-II,1,F12,10,20,2,2023-05-21T00:00:00Z,2023-06-02T00:00:00Z,2023-07-14T00:00:00Z,3,16,12
1-F12-20-10-II,1,F12,20,10,2,2023-05-21T00:00:00Z,2023-06-02T00:00:00Z,2023-07-14T00:00:00Z,10,7,12
1-F18-10-20-II,1,F18,10,20,2,2023-05-21T00:00:00Z,2023-06-08T00:00:00Z,2023-07-14T00:00:00Z,4,9,18
1-F18-15-15-I,1,F18,15,15,1,2023-05-21T00:00:00Z,2023-06-08T00:00:00Z,2023-07-14T00:00:00Z,7,6,18
1-F18-15-15-II,1,F18,15,15,2,2023-05-21T00:00:00Z,2023-06-08T00:00:00Z,2023-07-14T00:00:00Z,6,8,18
1-F18-15-15-III,1,F18,15,15,3,2023-05-21T00:00:00Z,2023-06-08T00:00:00Z,2023-07-14T00:00:00Z,3,10,18
1-F18-20-10-II,1,F18,20,10,2,2023-05-21T00:00:00Z,2023-06-08T00:00:00Z,2023-07-14T00:00:00Z,3,10,18
1-F18-20-10-III,1,F18,20,10,3,2023-05-21T00:00:00Z,2023-06-08T00:00:00Z,2023-07-14T00:00:00Z,10,5,18
1-T6-40-20-II,1,T6,40,20,2,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-07-17T00:00:00Z,24,3,-6
1-T12-30-30-I,1,T12,30,30,1,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-07-17T00:00:00Z,19,6,-12
1-T12-40-20-I,1,T12,40,20,1,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-07-17T00:00:00Z,28,1,-12
1-T18-20-40-I,1,T18,20,40,1,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-07-17T00:00:00Z,9,2,-18
1-T18-30-30-I,1,T18,30,30,1,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-07-17T00:00:00Z,19,0,-18
1-T18-40-20-II,1,T18,40,20,2,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-07-17T00:00:00Z,25,0,-18
1-T18-40-20-III,1,T18,40,20,3,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-07-17T00:00:00Z,23,1,-18
1-F6-20-40-I,1,F6,20,40,1,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-07-17T00:00:00Z,9,28,6
1-F6-30-30-II,1,F6,30,30,2,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-07-17T00:00:00Z,8,21,6
1-F6-40-20-III,1,F6,40,20,3,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-07-17T00:00:00Z,17,13,6
1-F12-20-40-I,1,F12,20,40,1,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-07-17T00:00:00Z,3,20,12
1-F12-20-40-II,1,F12,20,40,2,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-07-17T00:00:00Z,5,24,12
1-F12-20-40-III,1,F12,20,40,3,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-07-17T00:00:00Z,4,23,12
1-F12-30-30-I,1,F12,30,30,1,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-07-17T00:00:00Z,10,18,12
1-F12-30-30-II,1,F12,30,30,2,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-07-17T00:00:00Z,8,22,12
1-F12-30-30-III,1,F12,30,30,3,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-07-17T00:00:00Z,10,20,12
